AGIs,genes,clust
AT5G49080,EXT11,9
AT5G51580,AT5G51580,39
AT5G51590,AT5G51590,40
AT5G51780,AT5G51780,22
AT5G51810,GA20OX2,30
AT5G52900,MAKR6,15
AT5G53380,AT5G53380,41
AT5G53970,TAT7,8
AT5G54710,AT5G54710,48
AT5G55090,MAPKKK15,32
AT5G56080,NAS2,30
AT5G56200,AT5G56200,39
AT5G56320,EXPA14,45
AT5G56550,OXS3,22
AT5G57340,AT5G57340,10
AT5G57780,P1R1,22
AT5G58370,AT5G58370,5
AT5G59450,AT5G59450,13
AT5G59590,UGT76E2,13
AT5G60350,AT5G60350,27
AT5G60780,NRT2.3,18
AT5G60890,MYB34,11
AT5G61440,ACHT5,8
AT5G62165,AGL42,30
AT5G62620,AT5G62620,42
AT5G62920,ARR6,32
AT5G63270,AT5G63270,39
AT5G64120,AT5G64120,48
AT5G64170,AT5G64170,33
AT5G64570,XYL4,20
AT5G64572,AT5G64572,20
AT5G65170,AT5G65170,29
AT5G65690,PCK2,41
AT5G65800,ACS5,29
AT5G66590,AT5G66590,29
AT5G66650,AT5G66650,28
AT5G67080,MAPKKK19,47
AT5G67390,AT5G67390,3
AT5G67520,APK4,10
AT5G67620,AT5G67620,29
ATCG00430,ATCG00430,17
ATCG00750,ATCG00750,40
ATMG00030,ATMG00030,9
